"Date","Price","Open","High","Low","Change %"
"Aug 23, 2022","7.479","7.479","7.479","7.479","0.07%"
"Aug 22, 2022","7.474","7.474","7.474","7.474","0.05%"
"Aug 19, 2022","7.470","7.470","7.470","7.470","0.27%"
"Aug 18, 2022","7.450","7.482","7.482","7.450","0.70%"
"Aug 17, 2022","7.398","7.405","7.405","7.398","-1.43%"
"Aug 12, 2022","7.505","7.505","7.505","7.505","0.17%"
"Aug 11, 2022","7.492","7.492","7.492","7.492","-0.46%"
"Aug 10, 2022","7.527","7.527","7.527","7.527","-0.37%"
"Aug 08, 2022","7.555","7.555","7.555","7.555","2.09%"
"Aug 05, 2022","7.400","7.420","7.420","7.400","0.19%"
"Aug 04, 2022","7.386","7.506","7.506","7.386","-0.98%"
"Aug 03, 2022","7.459","7.517","7.517","7.459","0.54%"
"Aug 02, 2022","7.419","7.523","7.523","7.419","-1.16%"
"Aug 01, 2022","7.506","7.540","7.540","7.506","-0.53%"
"Jul 29, 2022","7.546","7.568","7.568","7.546","-0.53%"
"Jul 28, 2022","7.586","7.586","7.620","7.586","-0.14%"
"Jul 27, 2022","7.597","7.603","7.603","7.587","0.03%"
"Jul 26, 2022","7.595","7.631","7.677","7.595","0.08%"
"Jul 25, 2022","7.589","7.620","7.626","7.589","-0.29%"
"Jul 22, 2022","7.611","7.677","7.677","7.611","-0.21%"
"Jul 21, 2022","7.627","7.677","7.677","7.627","-0.04%"
"Jul 20, 2022","7.630","7.652","7.660","7.630","0.08%"
"Jul 19, 2022","7.624","7.624","7.624","7.624","-0.05%"
"Jul 18, 2022","7.628","7.628","7.628","7.628","-0.03%"
"Jul 15, 2022","7.630","7.678","7.678","7.630","0.39%"
"Jul 14, 2022","7.600","7.600","7.600","7.600","0.64%"
"Jul 13, 2022","7.552","7.582","7.582","7.552","-0.57%"
"Jul 12, 2022","7.595","7.595","7.595","7.595","-0.34%"
"Jul 11, 2022","7.621","7.610","7.621","7.610","0.89%"
"Jul 08, 2022","7.554","7.554","7.565","7.554","0.45%"
"Jul 07, 2022","7.520","7.537","7.537","7.520","0.29%"
"Jul 06, 2022","7.498","7.498","7.498","7.498","-1.33%"
"Jul 05, 2022","7.599","7.599","7.599","7.599","-0.03%"
"Jul 04, 2022","7.601","7.601","7.601","7.601","-0.30%"
"Jul 01, 2022","7.624","7.624","7.624","7.624","-0.38%"
"Jun 30, 2022","7.653","7.648","7.663","7.648","0.04%"
"Jun 29, 2022","7.650","7.650","7.650","7.650","-0.10%"
"Jun 28, 2022","7.658","7.645","7.658","7.645","0.56%"
"Jun 27, 2022","7.615","7.615","7.615","7.615","-0.12%"
"Jun 24, 2022","7.624","7.624","7.624","7.624","0.14%"
"Jun 23, 2022","7.613","7.623","7.680","7.613","0.07%"
"Jun 22, 2022","7.608","7.657","7.691","7.608","-0.82%"
"Jun 21, 2022","7.671","7.700","7.709","7.671","0.33%"
"Jun 20, 2022","7.646","7.700","7.700","7.646","-1.05%"
"Jun 17, 2022","7.727","7.727","7.727","7.727","-0.76%"
"Jun 16, 2022","7.786","7.786","7.786","7.786","0.14%"
"Jun 15, 2022","7.775","7.775","7.775","7.775","0.04%"
"Jun 14, 2022","7.772","7.772","7.772","7.772","-0.17%"
"Jun 13, 2022","7.785","7.785","7.785","7.785","0.86%"
"Jun 10, 2022","7.719","7.687","7.719","7.681","0.48%"
"Jun 09, 2022","7.682","7.682","7.682","7.682","-0.31%"
"Jun 08, 2022","7.706","7.706","7.706","7.706","-0.34%"
"Jun 07, 2022","7.732","7.732","7.732","7.732","0.16%"
"Jun 06, 2022","7.720","7.720","7.720","7.720","0.46%"
"Jun 03, 2022","7.685","7.685","7.685","7.685","0.73%"
"Jun 02, 2022","7.629","7.629","7.629","7.629","0.21%"
"Jun 01, 2022","7.613","7.637","7.637","7.613","-0.31%"
"May 31, 2022","7.637","7.637","7.637","7.637","0.12%"
"May 30, 2022","7.628","7.603","7.628","7.603","0.67%"
"May 27, 2022","7.577","7.577","7.577","7.577","0.46%"
"May 26, 2022","7.542","7.542","7.542","7.542","-0.11%"
"May 25, 2022","7.550","7.550","7.550","7.550","-0.63%"
"May 24, 2022","7.598","7.598","7.598","7.598","-0.30%"
"May 23, 2022","7.621","7.621","7.621","7.621","0.40%"
"May 20, 2022","7.591","7.591","7.591","7.591","0.56%"
"May 19, 2022","7.549","7.549","7.549","7.549","-0.26%"
"May 18, 2022","7.569","7.569","7.569","7.569","-0.16%"
"May 17, 2022","7.581","7.581","7.581","7.581","1.04%"
"May 13, 2022","7.503","7.559","7.559","7.503","0.44%"
"May 12, 2022","7.470","7.570","7.570","7.437","-0.29%"
"May 11, 2022","7.492","7.593","7.593","7.492","-0.61%"
"May 10, 2022","7.538","7.581","7.581","7.538","-1.90%"
"May 09, 2022","7.684","7.680","7.684","7.680","0.07%"
"May 06, 2022","7.679","7.654","7.679","7.609","1.13%"
"May 05, 2022","7.593","7.604","7.626","7.587","1.33%"
"May 04, 2022","7.493","7.405","7.570","7.405","1.89%"
"May 02, 2022","7.354","7.339","7.354","7.339","-0.14%"
"Apr 29, 2022","7.364","7.397","7.397","7.339","0.78%"
"Apr 28, 2022","7.307","7.307","7.361","7.307","0.34%"
"Apr 27, 2022","7.282","7.317","7.317","7.282","-0.19%"
"Apr 26, 2022","7.296","7.351","7.351","7.296","0.14%"
"Apr 25, 2022","7.286","7.367","7.400","7.286","-1.50%"
"Apr 22, 2022","7.397","7.400","7.400","7.378","0.78%"
"Apr 21, 2022","7.340","7.373","7.373","7.340","0.18%"
"Apr 20, 2022","7.327","7.406","7.406","7.327","-0.77%"
"Apr 19, 2022","7.384","7.423","7.438","7.379","-0.53%"
"Apr 18, 2022","7.423","7.516","7.516","7.423","0.58%"
"Apr 13, 2022","7.380","7.380","7.380","7.380","0.70%"
"Apr 12, 2022","7.329","7.428","7.428","7.329","0.38%"
"Apr 11, 2022","7.301","7.301","7.301","7.301","0.01%"
"Apr 08, 2022","7.300","7.385","7.385","7.300","1.05%"
"Apr 07, 2022","7.224","7.255","7.255","7.224","0.73%"
"Apr 06, 2022","7.172","7.172","7.172","7.172","0.20%"
"Apr 05, 2022","7.158","7.158","7.158","7.158","-0.71%"
"Apr 04, 2022","7.209","7.209","7.209","7.209","0.67%"
"Mar 31, 2022","7.161","7.161","7.161","7.161","0.66%"
"Mar 30, 2022","7.114","7.114","7.114","7.114","-0.50%"
"Mar 29, 2022","7.150","7.165","7.165","7.150","-0.27%"
"Mar 28, 2022","7.169","7.169","7.169","7.169","0.42%"
"Mar 25, 2022","7.139","7.139","7.139","7.139","0.41%"
"Mar 24, 2022","7.110","7.171","7.171","7.110","-0.96%"
"Mar 23, 2022","7.179","7.179","7.179","7.179","-0.24%"
"Mar 22, 2022","7.196","7.196","7.196","7.196","0.78%"
"Mar 21, 2022","7.140","7.166","7.166","7.140","-0.14%"
"Mar 17, 2022","7.150","7.150","7.150","7.150","-0.24%"
"Mar 16, 2022","7.167","7.167","7.167","7.167","-0.24%"
"Mar 15, 2022","7.184","7.184","7.184","7.184","-0.33%"
"Mar 14, 2022","7.208","7.208","7.208","7.208","0.04%"
"Mar 11, 2022","7.205","7.205","7.205","7.205","0.53%"
"Mar 10, 2022","7.167","7.167","7.167","7.167","-0.61%"
"Mar 09, 2022","7.211","7.211","7.211","7.211","-0.70%"
"Mar 08, 2022","7.262","7.262","7.262","7.262","0.04%"
"Mar 07, 2022","7.259","7.259","7.259","7.259","1.06%"
"Mar 04, 2022","7.183","7.183","7.183","7.183","0.20%"
"Mar 03, 2022","7.169","7.126","7.169","7.126","0.48%"
"Mar 02, 2022","7.135","7.135","7.135","7.135","0.78%"
"Feb 28, 2022","7.080","7.069","7.080","7.048","0.31%"
"Feb 25, 2022","7.058","7.064","7.064","7.058","-0.37%"
"Feb 24, 2022","7.084","7.084","7.084","7.084","0.40%"
"Feb 23, 2022","7.056","7.080","7.080","7.048","-0.37%"
